ProductID,SKU,Category,SubCategory,Brand,Cost,SellingPrice,Margin
PROD-0001,SKU-TEC-MON-0001,Technology,Monitors,AmazonBasics,189.24,284.19,0.3341
PROD-0002,SKU-OFF-ENV-0002,Office Supplies,Envelopes,ProTech,872.7,1341.38,0.3494
PROD-0003,SKU-FUR-STO-0003,Furniture,Storage Systems,ApexCorp,180.2,243.55,0.2601
PROD-0004,SKU-TEC-AUD-0004,Technology,Audio & Headphones,ProTech,712.33,1068.92,0.3336
PROD-0005,SKU-TEC-MON-0005,Technology,Monitors,FlexiWorkspace,606.56,857.21,0.2924
PROD-0006,SKU-TEC-ACC-0006,Technology,Accessories,FlexiWorkspace,690.76,845.69,0.1832
PROD-0007,SKU-FUR-STO-0007,Furniture,Storage Systems,OmniSupplies,876.85,1505.84,0.4177
PROD-0008,SKU-OFF-BIN-0008,Office Supplies,Binders,FlexiWorkspace,108.71,163.42,0.3348
PROD-0009,SKU-LOG-PAL-0009,Logistics Gear,Pallet Jacks,IndustrialPlus,943.36,1193.67,0.2097
PROD-0010,SKU-OFF-STO-0010,Office Supplies,Storage Boxes,LogiTech,229.31,418.14,0.4516
PROD-0011,SKU-FUR-DES-0011,Furniture,Desks,IndustrialPlus,779.07,1693.63,0.54
PROD-0012,SKU-TEC-AUD-0012,Technology,Audio & Headphones,GlobalGear,373.21,485.26,0.2309
PROD-0013,SKU-LOG-IND-0013,Logistics Gear,Industrial Scales,IndustrialPlus,917.48,1262.53,0.2733
PROD-0014,SKU-FUR-DES-0014,Furniture,Desks,FlexiWorkspace,927.42,1218.37,0.2388
PROD-0015,SKU-FUR-DES-0015,Furniture,Desks,GlobalGear,619.62,1047.01,0.4082
PROD-0016,SKU-LOG-PAC-0016,Logistics Gear,Packaging Tape,OmniSupplies,38.17,54.09,0.2943
PROD-0017,SKU-TEC-AUD-0017,Technology,Audio & Headphones,IndustrialPlus,681.51,1014.76,0.3284
PROD-0018,SKU-TEC-LAP-0018,Technology,Laptops,GlobalGear,424.57,597.06,0.2889
PROD-0019,SKU-LOG-BAR-0019,Logistics Gear,Barcode Scanners,LogiTech,573.1,1020.11,0.4382
PROD-0020,SKU-OFF-STO-0020,Office Supplies,Storage Boxes,GlobalGear,602.52,857.07,0.297
PROD-0021,SKU-OFF-PEN-0021,Office Supplies,Pens & Stationery,OmniSupplies,255.8,417.97,0.388
PROD-0022,SKU-LOG-PAC-0022,Logistics Gear,Packaging Tape,FlexiWorkspace,172.4,228.68,0.2461
PROD-0023,SKU-TEC-AUD-0023,Technology,Audio & Headphones,OmniSupplies,135.43,244.41,0.4459
PROD-0024,SKU-LOG-IND-0024,Logistics Gear,Industrial Scales,IndustrialPlus,49.14,85.68,0.4265
PROD-0025,SKU-TEC-MON-0025,Technology,Monitors,IndustrialPlus,106.17,168.85,0.3712
PROD-0026,SKU-LOG-BAR-0026,Logistics Gear,Barcode Scanners,ProTech,640.01,1023.2,0.3745
PROD-0027,SKU-FUR-LIG-0027,Furniture,Lighting,OmniSupplies,764.88,1495.95,0.4887
PROD-0028,SKU-LOG-BAR-0028,Logistics Gear,Barcode Scanners,OmniSupplies,345.38,699.15,0.506
PROD-0029,SKU-LOG-IND-0029,Logistics Gear,Industrial Scales,ProTech,183.89,275.49,0.3325
PROD-0030,SKU-LOG-PAL-0030,Logistics Gear,Pallet Jacks,ApexCorp,221.51,329.87,0.3285
PROD-0031,SKU-LOG-LAB-0031,Logistics Gear,Label Printers,ApexCorp,535.11,759.56,0.2955
PROD-0032,SKU-LOG-PAL-0032,Logistics Gear,Pallet Jacks,IndustrialPlus,792.15,1308.26,0.3945
PROD-0033,SKU-LOG-BAR-0033,Logistics Gear,Barcode Scanners,FlexiWorkspace,226.37,330.61,0.3153
PROD-0034,SKU-LOG-PAL-0034,Logistics Gear,Pallet Jacks,ApexCorp,695.42,909.05,0.235
PROD-0035,SKU-LOG-PAC-0035,Logistics Gear,Packaging Tape,IndustrialPlus,813.74,1392.44,0.4156
PROD-0036,SKU-TEC-ACC-0036,Technology,Accessories,ProTech,79.09,132.66,0.4038
PROD-0037,SKU-TEC-ACC-0037,Technology,Accessories,LogiTech,13.99,23.36,0.401
PROD-0038,SKU-LOG-PAC-0038,Logistics Gear,Packaging Tape,GlobalGear,794.13,1322.23,0.3994
PROD-0039,SKU-OFF-PEN-0039,Office Supplies,Pens & Stationery,GlobalGear,896.09,1890.88,0.5261
PROD-0040,SKU-FUR-DES-0040,Furniture,Desks,ApexCorp,98.51,200.02,0.5075
PROD-0041,SKU-OFF-STO-0041,Office Supplies,Storage Boxes,OmniSupplies,624.56,1253.13,0.5016
PROD-0042,SKU-OFF-BIN-0042,Office Supplies,Binders,ApexCorp,866.48,1231.67,0.2965
PROD-0043,SKU-FUR-BOO-0043,Furniture,Bookcases,FlexiWorkspace,654.7,1271.51,0.4851
PROD-0044,SKU-TEC-AUD-0044,Technology,Audio & Headphones,AmazonBasics,156.69,234.67,0.3323
PROD-0045,SKU-LOG-LAB-0045,Logistics Gear,Label Printers,ProTech,544.52,697.39,0.2192
PROD-0046,SKU-LOG-PAL-0046,Logistics Gear,Pallet Jacks,ProTech,715.45,899.15,0.2043
