CustomerID,Segment,Region,Country,City,LifetimeValue
CUST-000001,Consumer,APAC,Australia,Sydney,4364.17
CUST-000002,Corporate,North America,United States,Phoenix,1428.12
CUST-000003,Consumer,North America,Canada,Vancouver,387.43
CUST-000004,Consumer,North America,Canada,Toronto,2965.72
CUST-000005,Corporate,APAC,Australia,Sydney,1873.75
CUST-000006,Consumer,Europe,France,Toulouse,5054.98
CUST-000007,Home Office,North America,United States,New York,484.16
CUST-000008,Consumer,North America,United States,Houston,433.66
CUST-000009,Consumer,North America,Canada,Toronto,1191.5
CUST-000010,Consumer,Europe,France,Lyon,631.91
CUST-000011,Corporate,APAC,Australia,Perth,360.33
CUST-000012,Consumer,North America,Canada,Calgary,788.79
CUST-000013,Consumer,Europe,France,Marseille,2303.11
CUST-000014,Consumer,APAC,Japan,Tokyo,1160.84
CUST-000015,Corporate,APAC,Japan,Osaka,216.59
CUST-000016,Corporate,APAC,Australia,Perth,411.75
CUST-000017,Consumer,Europe,United Kingdom,Birmingham,4313.16
CUST-000018,Home Office,North America,Canada,Vancouver,2463.26
CUST-000019,Consumer,APAC,Japan,Yokohama,293.89
CUST-000020,Corporate,North America,United States,Los Angeles,962.13
CUST-000021,Consumer,Europe,Germany,Berlin,1106.97
CUST-000022,Consumer,Europe,United Kingdom,Birmingham,3510.59
CUST-000023,Consumer,Europe,France,Marseille,1670.76
CUST-000024,Consumer,APAC,Japan,Tokyo,1177.76
CUST-000025,Corporate,APAC,Australia,Perth,436.14
CUST-000026,Home Office,Europe,France,Paris,2239.14
CUST-000027,Home Office,Europe,Germany,Berlin,3303.01
CUST-000028,Corporate,Europe,France,Marseille,3719.21
CUST-000029,Consumer,APAC,Japan,Yokohama,455.39
CUST-000030,Consumer,Europe,France,Lyon,700.94
CUST-000031,Consumer,APAC,Australia,Sydney,593.18
CUST-000032,Home Office,North America,United States,Houston,767.72
CUST-000033,Consumer,APAC,Japan,Yokohama,1245.37
CUST-000034,Consumer,North America,United States,Houston,2418.68
CUST-000035,Consumer,APAC,Japan,Tokyo,6217.8
CUST-000036,Corporate,Europe,Germany,Hamburg,460.16
CUST-000037,Consumer,Europe,Germany,Hamburg,2515.86
CUST-000038,Corporate,North America,Canada,Montreal,1977.93
CUST-000039,Corporate,Europe,United Kingdom,Manchester,257.7
CUST-000040,Consumer,APAC,Australia,Brisbane,322.41
CUST-000041,Home Office,APAC,Australia,Sydney,1516.82
CUST-000042,Consumer,Europe,France,Lyon,241.94
CUST-000043,Consumer,Europe,France,Lyon,700.64
CUST-000044,Corporate,North America,Canada,Calgary,1570.85
CUST-000045,Home Office,Europe,Germany,Hamburg,1044.69
CUST-000046,Consumer,APAC,Australia,Melbourne,1898.78
CUST-000047,Corporate,APAC,Australia,Brisbane,1303.44
CUST-000048,Corporate,APAC,Japan,Tokyo,1103.14
CUST-000049,Corporate,North America,Canada,Toronto,930.94
CUST-000050,Consumer,APAC,Japan,Yokohama,309.83
CUST-000051,Consumer,Europe,Germany,Hamburg,1566.42
CUST-000052,Consumer,North America,United States,Houston,1144.61
CUST-000053,Home Office,Europe,France,Marseille,551.43
CUST-000054,Consumer,North America,Canada,Calgary,2122.25
CUST-000055,Consumer,Europe,Germany,Frankfurt,262.15
CUST-000056,Consumer,North America,Canada,Montreal,396.13
CUST-000057,Home Office,North America,Canada,Vancouver,2461.24
